2026-07-07 14:56:40.267 [DEBUG   ] [ThreadWatchdog tid=13556] Watchdog snapshot: 9 alive — ['DebugMonitor', 'MainThread', 'Thread-3 (robot_state_routine_thread)', 'ThreadWatchdog', 'app-main', 'asyncio_0', 'asyncio_1', 'cam-useeplus-decode', 'camera-_useeplus']
2026-07-07 14:56:42.277 [DEBUG   ] [ThreadWatchdog tid=13556] Watchdog snapshot: 9 alive — ['DebugMonitor', 'MainThread', 'Thread-3 (robot_state_routine_thread)', 'ThreadWatchdog', 'app-main', 'asyncio_0', 'asyncio_1', 'cam-useeplus-decode', 'camera-_useeplus']
2026-07-07 14:56:44.280 [DEBUG   ] [ThreadWatchdog tid=13556] Watchdog snapshot: 9 alive — ['DebugMonitor', 'MainThread', 'Thread-3 (robot_state_routine_thread)', 'ThreadWatchdog', 'app-main', 'asyncio_0', 'asyncio_1', 'cam-useeplus-decode', 'camera-_useeplus']
2026-07-07 14:56:46.281 [DEBUG   ] [ThreadWatchdog tid=13556] Watchdog snapshot: 9 alive — ['DebugMonitor', 'MainThread', 'Thread-3 (robot_state_routine_thread)', 'ThreadWatchdog', 'app-main', 'asyncio_0', 'asyncio_1', 'cam-useeplus-decode', 'camera-_useeplus']
2026-07-07 14:56:48.291 [DEBUG   ] [ThreadWatchdog tid=13556] Watchdog snapshot: 9 alive — ['DebugMonitor', 'MainThread', 'Thread-3 (robot_state_routine_thread)', 'ThreadWatchdog', 'app-main', 'asyncio_0', 'asyncio_1', 'cam-useeplus-decode', 'camera-_useeplus']
2026-07-07 14:56:50.292 [DEBUG   ] [ThreadWatchdog tid=13556] Watchdog snapshot: 9 alive — ['DebugMonitor', 'MainThread', 'Thread-3 (robot_state_routine_thread)', 'ThreadWatchdog', 'app-main', 'asyncio_0', 'asyncio_1', 'cam-useeplus-decode', 'camera-_useeplus']
2026-07-07 14:56:52.326 [DEBUG   ] [ThreadWatchdog tid=13556] Watchdog snapshot: 9 alive — ['DebugMonitor', 'MainThread', 'Thread-3 (robot_state_routine_thread)', 'ThreadWatchdog', 'app-main', 'asyncio_0', 'asyncio_1', 'cam-useeplus-decode', 'camera-_useeplus']
2026-07-07 14:56:54.342 [DEBUG   ] [ThreadWatchdog tid=13556] Watchdog snapshot: 9 alive — ['DebugMonitor', 'MainThread', 'Thread-3 (robot_state_routine_thread)', 'ThreadWatchdog', 'app-main', 'asyncio_0', 'asyncio_1', 'cam-useeplus-decode', 'camera-_useeplus']
2026-07-07 14:56:56.344 [DEBUG   ] [ThreadWatchdog tid=13556] Watchdog snapshot: 9 alive — ['DebugMonitor', 'MainThread', 'Thread-3 (robot_state_routine_thread)', 'ThreadWatchdog', 'app-main', 'asyncio_0', 'asyncio_1', 'cam-useeplus-decode', 'camera-_useeplus']
2026-07-07 14:56:58.356 [DEBUG   ] [ThreadWatchdog tid=13556] Watchdog snapshot: 9 alive — ['DebugMonitor', 'MainThread', 'Thread-3 (robot_state_routine_thread)', 'ThreadWatchdog', 'app-main', 'asyncio_0', 'asyncio_1', 'cam-useeplus-decode', 'camera-_useeplus']
2026-07-07 14:57:00.364 [DEBUG   ] [ThreadWatchdog tid=13556] Watchdog snapshot: 9 alive — ['DebugMonitor', 'MainThread', 'Thread-3 (robot_state_routine_thread)', 'ThreadWatchdog', 'app-main', 'asyncio_0', 'asyncio_1', 'cam-useeplus-decode', 'camera-_useeplus']
2026-07-07 14:57:02.366 [DEBUG   ] [ThreadWatchdog tid=13556] Watchdog snapshot: 9 alive — ['DebugMonitor', 'MainThread', 'Thread-3 (robot_state_routine_thread)', 'ThreadWatchdog', 'app-main', 'asyncio_0', 'asyncio_1', 'cam-useeplus-decode', 'camera-_useeplus']
